pack,constraint_id,vendor,tested_version,url_kind,url_version_token,verdict,source_url
milvus_001,milvus_behavioral_entities_delete_001,milvus,2.3,implementation-source,2.6.17,MISMATCH,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go
milvus_001,milvus_behavioral_entities_get_001,milvus,2.3,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Get.md
milvus_001,milvus_behavioral_entities_search_001,milvus,2.3,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Search.md
milvus_001,milvus_range_entities_search_001,milvus,2.3,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Search.md
milvus_001,milvus_range_entities_search_002,milvus,2.3,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Search.md
milvus_001,milvus_state_entities_delete_001,milvus,2.3,implementation-source,2.6.17,MISMATCH,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go
milvus_001,milvus_state_entities_search_001,milvus,2.3,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Search.md
milvus_001,milvus_type_entities_delete_001,milvus,2.3,implementation-source,2.6.17,MISMATCH,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go
milvus_001,milvus_type_entities_get_001,milvus,2.3,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Get.md
milvus_001,milvus_type_entities_search_001,milvus,2.3,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Search.md
milvus_013,milvus_type_request_timeout_001,milvus,2.6.16,vendor-documentation,2.3,MISMATCH,https://milvus.io/api-reference/restful/v2.3.x/v2/Vector%20(v2)/Query.md
milvus_034,milvus_behavioral_collections_create_001,milvus,3.0.0,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md
milvus_034,milvus_range_entities_insert_001,milvus,3.0.0,implementation-source,2.6.17,MISMATCH,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go
milvus_034,milvus_range_entities_search_001,milvus,3.0.0,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Search.md
milvus_034,milvus_state_collections_create_001,milvus,3.0.0,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md
milvus_034,milvus_state_collections_drop_001,milvus,3.0.0,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Drop.md
milvus_034,milvus_state_entities_insert_001,milvus,3.0.0,implementation-source,2.6.17,MISMATCH,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go
milvus_034,milvus_type_collections_create_001,milvus,3.0.0,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md
milvus_034,milvus_type_collections_drop_001,milvus,3.0.0,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Drop.md
milvus_034,milvus_type_collections_load_001,milvus,3.0.0,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Load.md
milvus_034,milvus_type_collections_rename_001,milvus,3.0.0,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Rename.md
milvus_034,milvus_type_entities_insert_001,milvus,3.0.0,implementation-source,2.6.17,MISMATCH,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go
milvus_034,milvus_type_entities_search_001,milvus,3.0.0,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Search.md
milvus_034,milvus_type_entities_upsert_001,milvus,3.0.0,implementation-source,2.6.17,MISMATCH,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go
milvus_035,milvus_behavioral_collections_create_001,milvus,3.0.0,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md
milvus_035,milvus_range_entities_insert_001,milvus,3.0.0,implementation-source,2.6.17,MISMATCH,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go
milvus_035,milvus_range_entities_search_001,milvus,3.0.0,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Vector%20(v2)/Search.md
milvus_035,milvus_state_collections_create_001,milvus,3.0.0,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md
milvus_035,milvus_state_collections_drop_001,milvus,3.0.0,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Drop.md
milvus_035,milvus_state_entities_insert_001,milvus,3.0.0,implementation-source,2.6.17,MISMATCH,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go
milvus_035,milvus_type_collections_create_001,milvus,3.0.0,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Create.md
milvus_035,milvus_type_collections_drop_001,milvus,3.0.0,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Drop.md
milvus_035,milvus_type_collections_load_001,milvus,3.0.0,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Load.md
milvus_035,milvus_type_collections_rename_001,milvus,3.0.0,vendor-documentation,2.6,MISMATCH,https://milvus.io/api-reference/restful/v2.6.x/v2/Collection%20(v2)/Rename.md
milvus_035,milvus_type_entities_insert_001,milvus,3.0.0,implementation-source,2.6.17,MISMATCH,https://github.com/milvus-io/milvus/blob/v2.6.17/internal/distributed/proxy/httpserver/constant.go
